step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,1.2478052377700806,0.7270220588235294,,,,,,,,2026-04-22T17:02:07.3930000Z
2,1.168679118156433,0.7495606326889279,,,,,,,,2026-04-22T17:02:13.7470000Z
3,1.249908685684204,0.7308467741935484,,,,,,,,2026-04-22T17:02:18.3220000Z
4,1.1485161781311035,0.753527751646284,,,,,,,,2026-04-22T17:02:22.0670000Z
5,0.9974395036697388,0.7626774847870182,,,,,,,,2026-04-22T17:02:24.2820000Z
6,0.7394068241119385,0.7803468208092486,,,,,,,,2026-04-22T17:02:27.4250000Z
7,0.6657490134239197,0.7857142857142857,,,,,,,,2026-04-22T17:02:29.9860000Z
8,0.6445552110671997,0.794092093831451,,,,,,,,2026-04-22T17:02:33.4480000Z
9,0.7044278383255005,0.7784552845528455,,,,,,,,2026-04-22T17:02:35.7170000Z
10,0.6027222871780396,0.8170731707317073,,0.6398838640169333,0.7960741548527808,,,,,2026-04-22T17:02:51.5880000Z
11,0.5715311765670776,0.8148479427549195,,,,,,,,2026-04-22T17:02:55.8670000Z
12,0.563452422618866,0.8116213683223993,,,,,,,,2026-04-22T17:03:00.5270000Z
13,0.5204319357872009,0.8190567853705486,,,,,,,,2026-04-22T17:03:03.7290000Z
14,0.5241998434066772,0.8210831721470019,,,,,,,,2026-04-22T17:03:06.0110000Z
15,0.5486044883728027,0.834942084942085,,,,,,,,2026-04-22T17:03:07.9940000Z
16,0.5008431673049927,0.8197026022304833,,,,,,,,2026-04-22T17:03:12.3750000Z
17,0.4900323450565338,0.8352601156069365,,,,,,,,2026-04-22T17:03:14.6470000Z
18,0.4528655409812927,0.8406909788867563,,,,,,,,2026-04-22T17:03:17.5190000Z
19,0.5286198258399963,0.8335056876938987,,,,,,,,2026-04-22T17:03:20.9950000Z
20,0.3583419919013977,0.8745421245421245,,0.5611543018433071,0.8116883116883117,,,,,2026-04-22T17:03:32.7820000Z
21,0.5045781135559082,0.8207461328480437,,,,,,,,2026-04-22T17:03:50.0050000Z
22,0.5091378688812256,0.8259557344064387,,,,,,,,2026-04-22T17:03:51.6750000Z
23,0.4098625183105469,0.864476386036961,,,,,,,,2026-04-22T17:03:54.8550000Z
24,0.4147523045539856,0.8546747967479674,,,,,,,,2026-04-22T17:03:57.4280000Z
25,0.495506227016449,0.8382352941176471,,,,,,,,2026-04-22T17:04:00.2980000Z
26,0.4564261734485626,0.840952380952381,,,,,,,,2026-04-22T17:04:02.8780000Z
27,0.4034416675567627,0.8673245614035088,,,,,,,,2026-04-22T17:04:05.7530000Z
28,0.540234386920929,0.8177777777777778,,,,,,,,2026-04-22T17:04:10.1320000Z
29,0.39876484870910645,0.8504983388704319,,,,,,,,2026-04-22T17:04:13.5990000Z
30,0.5048303008079529,0.8233618233618234,,0.46874153989775474,0.8481375358166189,,,,,2026-04-22T17:04:25.0300000Z
31,0.4471747875213623,0.8386491557223265,,,,,,,,2026-04-22T17:04:28.5170000Z
32,0.44079530239105225,0.8399621212121212,,,,,,,,2026-04-22T17:04:31.3880000Z
33,0.44646674394607544,0.8460076045627376,,,,,,,,2026-04-22T17:04:33.9560000Z
34,0.40778622031211853,0.844559585492228,,,,,,,,2026-04-22T17:04:36.8190000Z
35,0.43700671195983887,0.8557599225556631,,,,,,,,2026-04-22T17:04:52.5990000Z
