step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.6474279761314392,,0,,,,,,,2026-04-24T00:08:43.7050000Z
2,0.6693087816238403,,0.125,,,,,,,2026-04-24T00:09:03.0710000Z
3,0.6651124358177185,,0,,,,,,,2026-04-24T00:09:22.1570000Z
4,0.6780577301979065,,0.25,,,,,,,2026-04-24T00:09:41.8490000Z
5,0.6778062582015991,,0.25,,,,,,,2026-04-24T00:10:02.1370000Z
6,0.6670712232589722,,0,,,,,,,2026-04-24T00:10:22.4400000Z
7,0.6699734926223755,,0,,,,,,,2026-04-24T00:10:42.7420000Z
8,0.663109540939331,,0,,,,,,,2026-04-24T00:11:02.4460000Z
9,0.6622650623321533,,0,,,,,,,2026-04-24T00:11:22.7720000Z
10,0.6725963354110718,,0.25,0.6662428379058838,,0,,,,2026-04-24T00:11:51.7510000Z
11,0.6643507480621338,,0,,,,,,,2026-04-24T00:12:10.9430000Z
12,0.6659628748893738,,0,,,,,,,2026-04-24T00:12:30.3420000Z
13,0.6625807881355286,,0,,,,,,,2026-04-24T00:12:50.6610000Z
14,0.668502151966095,,0.125,,,,,,,2026-04-24T00:13:10.6620000Z
15,0.6555514335632324,,0,,,,,,,2026-04-24T00:13:30.6710000Z
16,0.6628882884979248,,0,,,,,,,2026-04-24T00:13:50.0950000Z
17,0.6693578362464905,,0.125,,,,,,,2026-04-24T00:14:09.7950000Z
18,0.6613470315933228,,0,,,,,,,2026-04-24T00:14:29.5040000Z
19,0.6562029719352722,,0,,,,,,,2026-04-24T00:14:49.2110000Z
20,0.6596226096153259,,0,0.6568344235420227,,0,,,,2026-04-24T00:15:18.2040000Z
21,0.6436407566070557,,0,,,,,,,2026-04-24T00:15:37.6540000Z
22,0.6493401527404785,,0,,,,,,,2026-04-24T00:15:57.6640000Z
23,0.6537700891494751,,0,,,,,,,2026-04-24T00:16:17.6480000Z
24,0.6635658144950867,,0,,,,,,,2026-04-24T00:16:37.9380000Z
25,0.6386895179748535,,0,,,,,,,2026-04-24T00:16:57.6800000Z
26,0.6486666798591614,,0,,,,,,,2026-04-24T00:17:17.6910000Z
27,0.6413173079490662,,0,,,,,,,2026-04-24T00:17:38.5910000Z
28,0.6371497511863708,,0,,,,,,,2026-04-24T00:17:58.2980000Z
29,0.6439921855926514,,0,,,,,,,2026-04-24T00:18:22.2000000Z
30,0.6462764739990234,,0,0.6505994200706482,,0,,,,2026-04-24T00:18:50.8500000Z
31,0.6411344408988953,,0,,,,,,,2026-04-24T00:19:10.8880000Z
32,0.6448947191238403,,0,,,,,,,2026-04-24T00:19:30.8910000Z
33,0.6563540101051331,,0.125,,,,,,,2026-04-24T00:19:50.5920000Z
34,0.6589788794517517,,0,,,,,,,2026-04-24T00:20:10.5940000Z
35,0.6503285765647888,,0,,,,,,,2026-04-24T00:20:30.5970000Z
36,0.6515650153160095,,0,,,,,,,2026-04-24T00:20:50.2890000Z
37,0.6365939378738403,,0,,,,,,,2026-04-24T00:21:09.6920000Z
38,0.6487594842910767,,0,,,,,,,2026-04-24T00:21:29.6980000Z
39,0.6518323421478271,,0,,,,,,,2026-04-24T00:21:49.4020000Z
40,0.638273298740387,,0,0.6423369646072388,,0,,,,2026-04-24T00:22:18.0770000Z
41,0.6322742700576782,,0,,,,,,,2026-04-24T00:22:38.4410000Z
42,0.6351505517959595,,0,,,,,,,2026-04-24T00:22:57.8700000Z
43,0.6474961042404175,,0,,,,,,,2026-04-24T00:23:17.9080000Z
44,0.6345227956771851,,0,,,,,,,2026-04-24T00:23:37.3280000Z
45,0.6343817710876465,,0,,,,,,,2026-04-24T00:23:57.3470000Z
46,0.6390044689178467,,0,,,,,,,2026-04-24T00:24:16.7790000Z
47,0.6433706283569336,,0,,,,,,,2026-04-24T00:24:36.5400000Z
48,0.6299982070922852,,0,,,,,,,2026-04-24T00:24:56.2850000Z
49,0.6414785385131836,,0,,,,,,,2026-04-24T00:25:16.0380000Z
