step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.6656371355056763,,0.125,,,,,,,2026-04-24T21:19:08.3700000Z
2,0.6713424324989319,,0,,,,,,,2026-04-24T21:19:26.2080000Z
3,0.6740859150886536,,0.25,,,,,,,2026-04-24T21:19:44.3770000Z
4,0.656810462474823,,0,,,,,,,2026-04-24T21:20:02.5330000Z
5,0.6622961163520813,,0,,,,,,,2026-04-24T21:20:20.9920000Z
6,0.6699747443199158,,0,,,,,,,2026-04-24T21:20:39.4520000Z
7,0.6789255142211914,,0.25,,,,,,,2026-04-24T21:20:57.6170000Z
8,0.6680455207824707,,0,,,,,,,2026-04-24T21:21:15.7780000Z
9,0.6653042435646057,,0,,,,,,,2026-04-24T21:21:34.2700000Z
10,0.6688092350959778,,0.125,0.6677314639091492,,0,,,,2026-04-24T21:22:00.7820000Z
11,0.6675211787223816,,0,,,,,,,2026-04-24T21:22:19.3000000Z
12,0.6666436791419983,,0,,,,,,,2026-04-24T21:22:38.0670000Z
13,0.6628795862197876,,0.125,,,,,,,2026-04-24T21:22:56.2400000Z
14,0.6661770939826965,,0,,,,,,,2026-04-24T21:23:14.4150000Z
15,0.6662271022796631,,0,,,,,,,2026-04-24T21:23:32.9240000Z
16,0.6691344380378723,,0.125,,,,,,,2026-04-24T21:23:51.4000000Z
17,0.6634072661399841,,0,,,,,,,2026-04-24T21:24:09.5830000Z
18,0.6595638990402222,,0,,,,,,,2026-04-24T21:24:28.0760000Z
19,0.6621901988983154,,0.125,,,,,,,2026-04-24T21:24:46.2500000Z
20,0.6598922610282898,,0.125,0.6656132340431213,,0,,,,2026-04-24T21:25:13.1560000Z
21,0.6555812954902649,,0,,,,,,,2026-04-24T21:25:31.5940000Z
22,0.6548375487327576,,0.125,,,,,,,2026-04-24T21:25:50.0580000Z
23,0.6700335741043091,,0,,,,,,,2026-04-24T21:26:08.2230000Z
24,0.6634072661399841,,0,,,,,,,2026-04-24T21:26:26.4140000Z
25,0.6633130311965942,,0,,,,,,,2026-04-24T21:26:44.8740000Z
26,0.6634922623634338,,0,,,,,,,2026-04-24T21:27:03.0610000Z
27,0.6574935913085938,,0,,,,,,,2026-04-24T21:27:21.5440000Z
28,0.65431809425354,,0,,,,,,,2026-04-24T21:27:39.7080000Z
29,0.6669784188270569,,0,,,,,,,2026-04-24T21:27:58.2460000Z
30,0.653626024723053,,0.125,0.6583863496780396,,0,,,,2026-04-24T21:28:25.2260000Z
31,0.6517541408538818,,0,,,,,,,2026-04-24T21:28:47.7520000Z
32,0.6438863277435303,,0,,,,,,,2026-04-24T21:29:06.3230000Z
33,0.6416848301887512,,0,,,,,,,2026-04-24T21:29:24.8740000Z
34,0.6571629047393799,,0,,,,,,,2026-04-24T21:29:43.4420000Z
35,0.6390825510025024,,0,,,,,,,2026-04-24T21:30:02.0070000Z
36,0.6508840322494507,,0,,,,,,,2026-04-24T21:30:20.5530000Z
37,0.6530419588088989,,0,,,,,,,2026-04-24T21:30:39.1120000Z
38,0.6583381295204163,,0.25,,,,,,,2026-04-24T21:30:58.0360000Z
39,0.6607957482337952,,0,,,,,,,2026-04-24T21:31:16.6440000Z
40,0.6388488411903381,,0,0.65034419298172,,0,,,,2026-04-24T21:31:43.5490000Z
41,0.6427158713340759,,0,,,,,,,2026-04-24T21:32:01.4890000Z
42,0.6397466659545898,,0,,,,,,,2026-04-24T21:32:19.3530000Z
43,0.6538518667221069,,0,,,,,,,2026-04-24T21:32:37.8480000Z
44,0.6411561965942383,,0,,,,,,,2026-04-24T21:32:56.3280000Z
45,0.6332003474235535,,0,,,,,,,2026-04-24T21:33:14.5060000Z
46,0.647110641002655,,0,,,,,,,2026-04-24T21:33:32.6870000Z
47,0.6393724679946899,,0,,,,,,,2026-04-24T21:33:50.8790000Z
48,0.6426833271980286,,0,,,,,,,2026-04-24T21:34:09.0800000Z
49,0.6431423425674438,,0,,,,,,,2026-04-24T21:34:27.5830000Z
50,0.6428458094596863,,0,0.6411483883857727,,0,,,,2026-04-24T21:34:54.3740000Z
51,0.6476895809173584,,0,,,,,,,2026-04-24T21:35:12.6720000Z
52,0.6384421586990356,,0,,,,,,,2026-04-24T21:35:30.9470000Z
53,0.6454629302024841,,0,,,,,,,2026-04-24T21:35:49.8150000Z
54,0.6297075748443604,,0,,,,,,,2026-04-24T21:36:08.3750000Z
55,0.6393154263496399,,0,,,,,,,2026-04-24T21:36:26.9530000Z
56,0.6198211908340454,,0,,,,,,,2026-04-24T21:36:45.5360000Z
57,0.6314687728881836,,0,,,,,,,2026-04-24T21:37:04.1140000Z
58,0.628094494342804,,0,,,,,,,2026-04-24T21:37:22.3830000Z
59,0.6447165012359619,,0,,,,,,,2026-04-24T21:37:40.6390000Z
60,0.6213228702545166,,0,0.6339061856269836,,0,,,,2026-04-24T21:38:07.8990000Z
61,0.6314032077789307,,0,,,,,,,2026-04-24T21:38:26.6910000Z
62,0.629291832447052,,0,,,,,,,2026-04-24T21:38:48.2280000Z
63,0.6299779415130615,,0,,,,,,,2026-04-24T21:39:06.4760000Z
64,0.6256864666938782,,0,,,,,,,2026-04-24T21:39:25.3460000Z
65,0.6204575896263123,,0,,,,,,,2026-04-24T21:39:43.6220000Z
66,0.629982590675354,,0,,,,,,,2026-04-24T21:40:02.1760000Z
67,0.6282837986946106,,0,,,,,,,2026-04-24T21:40:20.7950000Z
68,0.6230440139770508,,0,,,,,,,2026-04-24T21:40:39.6940000Z
69,0.6348205208778381,,0,,,,,,,2026-04-24T21:40:58.5640000Z
70,0.6226564645767212,,0,0.6265336275100708,,0,,,,2026-04-24T21:41:27.0840000Z
71,0.6370553970336914,,0,,,,,,,2026-04-24T21:41:45.8700000Z
72,0.623322069644928,,0,,,,,,,2026-04-24T21:42:04.3930000Z
73,0.6168454885482788,,0,,,,,,,2026-04-24T21:42:23.1830000Z
74,0.6067270040512085,,0,,,,,,,2026-04-24T21:42:41.7260000Z
75,0.618020236492157,,0,,,,,,,2026-04-24T21:43:00.3280000Z
76,0.6210484504699707,,0.125,,,,,,,2026-04-24T21:43:18.8670000Z
77,0.6240049600601196,,0,,,,,,,2026-04-24T21:43:37.4330000Z
78,0.6146929264068604,,0,,,,,,,2026-04-24T21:43:55.6870000Z
79,0.6154630184173584,,0,,,,,,,2026-04-24T21:44:14.2510000Z
80,0.6135593056678772,,0,0.6179912090301514,,0,,,,2026-04-24T21:44:41.4670000Z
81,0.623207151889801,,0,,,,,,,2026-04-24T21:44:59.4250000Z
82,0.6094955205917358,,0,,,,,,,2026-04-24T21:45:17.9280000Z
83,0.6258882284164429,,0,,,,,,,2026-04-24T21:45:36.4210000Z
84,0.6109097599983215,,0,,,,,,,2026-04-24T21:45:54.9220000Z
85,0.6032823324203491,,0,,,,,,,2026-04-24T21:46:13.4130000Z
86,0.6015100479125977,,0,,,,,,,2026-04-24T21:46:32.2010000Z
87,0.6167281270027161,,0,,,,,,,2026-04-24T21:46:50.9910000Z
88,0.6086550354957581,,0,,,,,,,2026-04-24T21:47:09.4670000Z
89,0.6156433820724487,,0,,,,,,,2026-04-24T21:47:27.9380000Z
90,0.6026134490966797,,0,0.6096504926681519,,0,,,,2026-04-24T21:47:55.3870000Z
