step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.6654946208000183,,0,,,,,,,2026-04-24T11:46:00.1610000Z
2,0.6663807034492493,,0.25,,,,,,,2026-04-24T11:46:19.4750000Z
3,0.6632788181304932,,0,,,,,,,2026-04-24T11:46:39.0890000Z
4,0.6733319163322449,,0.125,,,,,,,2026-04-24T11:46:59.3130000Z
5,0.6782470345497131,,0,,,,,,,2026-04-24T11:47:18.9440000Z
6,0.6664214134216309,,0,,,,,,,2026-04-24T11:47:38.6720000Z
7,0.6649965047836304,,0,,,,,,,2026-04-24T11:47:58.8890000Z
8,0.6762539744377136,,0.125,,,,,,,2026-04-24T11:48:18.8500000Z
9,0.6549497246742249,,0,,,,,,,2026-04-24T11:48:38.7780000Z
10,0.6617763042449951,,0,0.6698537468910217,,0,,,,2026-04-24T11:49:07.3820000Z
11,0.6695672869682312,,0,,,,,,,2026-04-24T11:49:27.2760000Z
12,0.6586412787437439,,0,,,,,,,2026-04-24T11:49:47.1890000Z
13,0.65810227394104,,0,,,,,,,2026-04-24T11:50:07.1240000Z
14,0.6639127731323242,,0,,,,,,,2026-04-24T11:50:26.4440000Z
15,0.6506641507148743,,0,,,,,,,2026-04-24T11:50:46.0920000Z
16,0.6622439622879028,,0,,,,,,,2026-04-24T11:51:05.4210000Z
17,0.651220440864563,,0,,,,,,,2026-04-24T11:51:25.0460000Z
18,0.6488721966743469,,0,,,,,,,2026-04-24T11:51:45.0130000Z
19,0.6414036750793457,,0,,,,,,,2026-04-24T11:52:04.6790000Z
20,0.65142422914505,,0,0.6536064147949219,,0,,,,2026-04-24T11:52:33.3180000Z
21,0.638374924659729,,0,,,,,,,2026-04-24T11:52:52.9480000Z
22,0.6559715270996094,,0,,,,,,,2026-04-24T11:53:12.5740000Z
23,0.6409983038902283,,0,,,,,,,2026-04-24T11:53:32.4940000Z
24,0.6419686675071716,,0,,,,,,,2026-04-24T11:53:52.4210000Z
25,0.6340497732162476,,0,,,,,,,2026-04-24T11:54:11.7620000Z
26,0.6440391540527344,,0,,,,,,,2026-04-24T11:54:31.9910000Z
27,0.6389235258102417,,0,,,,,,,2026-04-24T11:54:52.2310000Z
28,0.6348819732666016,,0,,,,,,,2026-04-24T11:55:12.7650000Z
29,0.6299790740013123,,0,,,,,,,2026-04-24T11:55:36.6270000Z
30,0.6206756234169006,,0,0.6265694499015808,,0,,,,2026-04-24T11:56:05.8870000Z
31,0.6479256749153137,,0,,,,,,,2026-04-24T11:56:25.4770000Z
32,0.6302604079246521,,0,,,,,,,2026-04-24T11:56:45.4010000Z
33,0.6186543703079224,,0,,,,,,,2026-04-24T11:57:05.6260000Z
34,0.6173246502876282,,0,,,,,,,2026-04-24T11:57:24.9520000Z
35,0.6249739527702332,,0.125,,,,,,,2026-04-24T11:57:44.5760000Z
36,0.6222718954086304,,0,,,,,,,2026-04-24T11:58:04.5080000Z
37,0.6276343464851379,,0,,,,,,,2026-04-24T11:58:24.7590000Z
38,0.6083694100379944,,0,,,,,,,2026-04-24T11:58:44.6970000Z
39,0.6107297539710999,,0,,,,,,,2026-04-24T11:59:04.0360000Z
40,0.6159858107566833,,0,0.602849543094635,,0,,,,2026-04-24T11:59:32.9530000Z
41,0.6037447452545166,,0,,,,,,,2026-04-24T11:59:52.8400000Z
42,0.6006179451942444,,0,,,,,,,2026-04-24T12:00:12.4750000Z
43,0.6031697988510132,,0,,,,,,,2026-04-24T12:00:32.0970000Z
44,0.5946486592292786,,0,,,,,,,2026-04-24T12:00:52.3300000Z
45,0.5937845706939697,,0,,,,,,,2026-04-24T12:01:11.9620000Z
46,0.5999863147735596,,0,,,,,,,2026-04-24T12:01:32.2430000Z
47,0.5929747223854065,,0,,,,,,,2026-04-24T12:01:52.2330000Z
48,0.5801796317100525,,0,,,,,,,2026-04-24T12:02:12.2290000Z
49,0.5788949728012085,,0,,,,,,,2026-04-24T12:02:32.2360000Z
50,0.5940309166908264,,0,0.5795162916183472,,0,,,,2026-04-24T12:03:01.2240000Z
51,0.578446626663208,,0,,,,,,,2026-04-24T12:03:20.8550000Z
52,0.5814828276634216,,0,,,,,,,2026-04-24T12:03:40.2410000Z
53,0.5828153491020203,,0,,,,,,,2026-04-24T12:03:59.9440000Z
54,0.5784542560577393,,0,,,,,,,2026-04-24T12:04:19.9390000Z
55,0.5607519149780273,,0,,,,,,,2026-04-24T12:04:40.2170000Z
56,0.6178328990936279,,0,,,,,,,2026-04-24T12:05:00.1900000Z
57,0.5720452666282654,,0,,,,,,,2026-04-24T12:05:19.8700000Z
58,0.5848792195320129,,0,,,,,,,2026-04-24T12:05:42.5490000Z
59,0.582190215587616,,0,,,,,,,2026-04-24T12:06:02.2210000Z
60,0.5634400844573975,,0,0.5570955872535706,,0,,,,2026-04-24T12:06:31.5350000Z
61,0.5497822761535645,,0,,,,,,,2026-04-24T12:06:51.7760000Z
62,0.5717544555664062,,0,,,,,,,2026-04-24T12:07:11.7810000Z
63,0.5555511116981506,,0,,,,,,,2026-04-24T12:07:31.7760000Z
64,0.562117338180542,,0,,,,,,,2026-04-24T12:07:52.0840000Z
65,0.5531577467918396,,0,,,,,,,2026-04-24T12:08:11.7700000Z
66,0.5531287789344788,,0,,,,,,,2026-04-24T12:08:32.0660000Z
67,0.5381723642349243,,0,,,,,,,2026-04-24T12:08:52.0500000Z
68,0.5272296071052551,,0,,,,,,,2026-04-24T12:09:12.0370000Z
69,0.5535898208618164,,0,,,,,,,2026-04-24T12:09:32.0050000Z
70,0.5328566431999207,,0,0.5366414189338684,,0,,,,2026-04-24T12:10:01.3140000Z
71,0.5333008170127869,,0,,,,,,,2026-04-24T12:10:20.9290000Z
72,0.5500479936599731,,0,,,,,,,2026-04-24T12:10:41.1630000Z
73,0.5079209804534912,,0,,,,,,,2026-04-24T12:11:00.5840000Z
74,0.5543903708457947,,0,,,,,,,2026-04-24T12:11:20.5880000Z
75,0.5262408256530762,,0,,,,,,,2026-04-24T12:11:40.5660000Z
76,0.5511775612831116,,0,,,,,,,2026-04-24T12:12:00.5110000Z
77,0.5224892497062683,,0,,,,,,,2026-04-24T12:12:20.2490000Z
78,0.5291343331336975,,0,,,,,,,2026-04-24T12:12:39.6940000Z
79,0.5294063091278076,,0,,,,,,,2026-04-24T12:12:59.3770000Z
80,0.5096431970596313,,0,0.5147383213043213,,0,,,,2026-04-24T12:13:28.1510000Z
81,0.5288915634155273,,0,,,,,,,2026-04-24T12:13:48.7130000Z
82,0.5177701115608215,,0,,,,,,,2026-04-24T12:14:08.4230000Z
83,0.5271100997924805,,0,,,,,,,2026-04-24T12:14:27.8360000Z
84,0.5263535380363464,,0,,,,,,,2026-04-24T12:14:47.8280000Z
