step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.5919808149337769,,0.125,,,,,,,2026-04-25T00:06:07.7870000Z
2,0.6224784851074219,,0.125,,,,,,,2026-04-25T00:06:26.2430000Z
3,0.5862535238265991,,0,,,,,,,2026-04-25T00:06:45.6280000Z
4,0.6041300892829895,,0.125,,,,,,,2026-04-25T00:07:04.4190000Z
5,0.5433820486068726,,0.125,,,,,,,2026-04-25T00:07:23.2200000Z
6,0.6006498336791992,,0.25,,,,,,,2026-04-25T00:07:41.4110000Z
7,0.6724685430526733,,0.25,,,,,,,2026-04-25T00:07:59.9040000Z
8,0.5910142660140991,,0.125,,,,,,,2026-04-25T00:08:18.6830000Z
9,0.6094386577606201,,0,,,,,,,2026-04-25T00:08:37.4730000Z
10,0.5588772296905518,,0,0.5400663614273071,,0,,,,2026-04-25T00:09:04.2960000Z
11,0.551912784576416,,0.125,,,,,,,2026-04-25T00:09:22.5820000Z
12,0.601530909538269,,0.125,,,,,,,2026-04-25T00:09:41.3710000Z
13,0.5777137279510498,,0.125,,,,,,,2026-04-25T00:09:59.8720000Z
14,0.5795140862464905,,0.125,,,,,,,2026-04-25T00:10:18.3590000Z
15,0.5435848236083984,,0,,,,,,,2026-04-25T00:10:37.4440000Z
16,0.5619133710861206,,0,,,,,,,2026-04-25T00:10:55.9310000Z
17,0.5393843054771423,,0,,,,,,,2026-04-25T00:11:14.7240000Z
18,0.5808362364768982,,0,,,,,,,2026-04-25T00:11:33.8310000Z
19,0.5346769690513611,,0,,,,,,,2026-04-25T00:11:52.3460000Z
20,0.5240294337272644,,0,0.5166255235671997,,0,,,,2026-04-25T00:12:19.4650000Z
21,0.5546409487724304,,0,,,,,,,2026-04-25T00:12:37.4700000Z
22,0.5196326971054077,,0,,,,,,,2026-04-25T00:12:56.3190000Z
23,0.5405843257904053,,0,,,,,,,2026-04-25T00:13:15.1710000Z
24,0.5407988429069519,,0,,,,,,,2026-04-25T00:13:34.0170000Z
25,0.5282750725746155,,0,,,,,,,2026-04-25T00:13:52.2510000Z
26,0.5163643956184387,,0,,,,,,,2026-04-25T00:14:10.7880000Z
27,0.4853724539279938,,0,,,,,,,2026-04-25T00:14:29.6400000Z
28,0.5240210890769958,,0,,,,,,,2026-04-25T00:14:48.1720000Z
29,0.5671244263648987,,0,,,,,,,2026-04-25T00:15:06.3940000Z
30,0.5359966158866882,,0,0.47222134470939636,,0,,,,2026-04-25T00:15:33.5410000Z
31,0.4632919430732727,,0,,,,,,,2026-04-25T00:15:56.9370000Z
32,0.5062052607536316,,0,,,,,,,2026-04-25T00:16:15.7260000Z
33,0.45287835597991943,,0,,,,,,,2026-04-25T00:16:34.5230000Z
34,0.4716527462005615,,0,,,,,,,2026-04-25T00:16:52.7110000Z
35,0.5079843401908875,,0,,,,,,,2026-04-25T00:17:10.9020000Z
36,0.49819350242614746,,0,,,,,,,2026-04-25T00:17:29.3840000Z
37,0.48271799087524414,,0,,,,,,,2026-04-25T00:17:47.8920000Z
38,0.5128852725028992,,0,,,,,,,2026-04-25T00:18:06.3690000Z
39,0.4829314351081848,,0,,,,,,,2026-04-25T00:18:25.7580000Z
40,0.5035591125488281,,0.125,0.4404018521308899,,0,,,,2026-04-25T00:18:52.5410000Z
41,0.4477573037147522,,0,,,,,,,2026-04-25T00:19:11.1100000Z
42,0.43787217140197754,,0,,,,,,,2026-04-25T00:19:29.5860000Z
43,0.4639127850532532,,0,,,,,,,2026-04-25T00:19:47.7870000Z
44,0.4661722481250763,,0,,,,,,,2026-04-25T00:20:06.5760000Z
45,0.46025794744491577,,0,,,,,,,2026-04-25T00:20:25.3660000Z
46,0.4175417423248291,,0,,,,,,,2026-04-25T00:20:43.5630000Z
47,0.45176100730895996,,0,,,,,,,2026-04-25T00:21:02.0730000Z
48,0.45227548480033875,,0,,,,,,,2026-04-25T00:21:20.8750000Z
49,0.4139758348464966,,0,,,,,,,2026-04-25T00:21:39.6540000Z
50,0.45041516423225403,,0,0.41075700521469116,,0,,,,2026-04-25T00:22:06.4110000Z
51,0.47637301683425903,,0,,,,,,,2026-04-25T00:22:24.7690000Z
52,0.38437649607658386,,0,,,,,,,2026-04-25T00:22:43.3400000Z
53,0.3882753252983093,,0,,,,,,,2026-04-25T00:23:01.5590000Z
54,0.431034654378891,,0,,,,,,,2026-04-25T00:23:20.3950000Z
55,0.44639286398887634,,0,,,,,,,2026-04-25T00:23:39.2360000Z
56,0.3893640637397766,,0,,,,,,,2026-04-25T00:23:57.4730000Z
57,0.3724047839641571,,0,,,,,,,2026-04-25T00:24:15.4110000Z
58,0.417050302028656,,0,,,,,,,2026-04-25T00:24:33.9190000Z
59,0.4372367858886719,,0,,,,,,,2026-04-25T00:24:52.4900000Z
60,0.415322870016098,,0,0.37904322147369385,,0,,,,2026-04-25T00:25:19.2670000Z
61,0.40074604749679565,,0,,,,,,,2026-04-25T00:25:37.8670000Z
62,0.42681804299354553,,0,,,,,,,2026-04-25T00:26:00.5580000Z
63,0.3843664526939392,,0,,,,,,,2026-04-25T00:26:19.0590000Z
64,0.3764747679233551,,0,,,,,,,2026-04-25T00:26:37.5510000Z
65,0.32876622676849365,,0,,,,,,,2026-04-25T00:26:56.1090000Z
66,0.4133000373840332,,0,,,,,,,2026-04-25T00:27:14.6360000Z
67,0.36247408390045166,,0,,,,,,,2026-04-25T00:27:33.1470000Z
68,0.42096972465515137,,0,,,,,,,2026-04-25T00:27:51.7030000Z
69,0.34442639350891113,,0,,,,,,,2026-04-25T00:28:09.9030000Z
70,0.37072452902793884,,0,0.35217803716659546,,0,,,,2026-04-25T00:28:39.1020000Z
71,0.4269203543663025,,0,,,,,,,2026-04-25T00:28:57.6750000Z
72,0.39759543538093567,,0,,,,,,,2026-04-25T00:29:15.8660000Z
73,0.37360242009162903,,0,,,,,,,2026-04-25T00:29:34.9590000Z
74,0.3435606360435486,,0,,,,,,,2026-04-25T00:29:53.7850000Z
75,0.35345736145973206,,0,,,,,,,2026-04-25T00:30:12.5790000Z
76,0.40742701292037964,,0,,,,,,,2026-04-25T00:30:31.0680000Z
77,0.43210095167160034,,0,,,,,,,2026-04-25T00:30:49.8600000Z
78,0.3968058228492737,,0,,,,,,,2026-04-25T00:31:08.0520000Z
79,0.3663505017757416,,0,,,,,,,2026-04-25T00:31:26.2500000Z
80,0.38945165276527405,,0,0.3288935422897339,,0,,,,2026-04-25T00:31:53.3440000Z
81,0.40727895498275757,,0,,,,,,,2026-04-25T00:32:12.2030000Z
82,0.362514853477478,,0,,,,,,,2026-04-25T00:32:30.7000000Z
83,0.3044583201408386,,0,,,,,,,2026-04-25T00:32:49.1890000Z
84,0.34804290533065796,,0,,,,,,,2026-04-25T00:33:08.5810000Z
85,0.2789148688316345,,0,,,,,,,2026-04-25T00:33:27.3810000Z
86,0.374786376953125,,0,,,,,,,2026-04-25T00:33:46.4760000Z
87,0.3312187194824219,,0,,,,,,,2026-04-25T00:34:04.9680000Z
88,0.3607962131500244,,0,,,,,,,2026-04-25T00:34:23.4660000Z
89,0.33318352699279785,,0,,,,,,,2026-04-25T00:34:41.6720000Z
90,0.3465213179588318,,0,0.3068067729473114,,0,,,,2026-04-25T00:35:08.7830000Z
